cores,MBW,AVGLAT,LAT90,IPC,
1, 4.551905405405408, 93.49086635388117, 70, 1.361832358615596,
2, 8.017536585365862, 104.95347158043381, 80, 1.2751407682026206,
3, 11.353210955710951, 112.99603521983447, 100, 1.226636539991929,
4, 12.902705942622969, 138.27082944123592, 150, 1.0586869150400426,
5, 9.794892735913098, 270.54291856630635, 910, 0.6631754962354336,
6, 11.737570365358588, 257.341317399315, 830, 0.6601640524143352,
7, 13.69408795669827, 253.9503132852112, 780, 0.6595500946731194,
8, 15.650540612516648, 248.26061940237432, 660, 0.6642763560824727,
9, 16.888579323797117, 246.23802673860519, 540, 0.6325731635938292,
10, 17.30797876213591, 260.14576719114575, 560, 0.5824606797354207,
11, 17.527414743950384, 288.90026130922604, 620, 0.537514600505868,
12, 17.594787893700598, 304.540075898739, 710, 0.524048708664878,
13, 17.6199338842973, 330.38812225831043, 770, 0.4904098311957705,
14, 17.63857008086228, 373.85300840660557, 850, 0.43612809849544015,
15, 17.64919144518245, 389.58218936284845, 920, 0.42265848191330746,
16, 17.654610353129705, 438.58928877398415, 990, 0.37695573641028085,
17, 17.66386336108979, 464.3214541301533, 990, 0.35868343792198076,
18, 17.66438588483122, 445.5389415209706, 990, 0.37213935655299685,
19, 17.671006306007104, 454.0625230903597, 990, 0.36741368524892315,
20, 17.69006121784418, 535.3576945267755, 990, 0.31545951323680793,
21, 17.688217044757653, 513.8085397572034, 990, 0.32751581722520273,
22, 17.706271327014136, 554.0602406243593, 990, 0.30631048526266375,
23, 17.714038299070584, 576.8236322332402, 990, 0.29516339275107595,
24, 17.717748164264346, 582.995096543729, 990, 0.2924945269788475,
