cores,MBW,AVGLAT,LAT90,IPC,
1, 0.7538574503930536, 128.42966805575054, 170, 0.44199976023401166,
2, 1.4862190502932857, 130.58477788197152, 170, 0.43464006246699943,
3, 2.198304723574193, 132.92210730944257, 170, 0.42804198888593165,
4, 2.8905777174590663, 135.19298794007452, 170, 0.42200434865671044,
5, 3.631261762136538, 138.82233679798324, 180, 0.41258919115483306,
6, 4.285397291900705, 141.02448291162034, 180, 0.40761851206707767,
7, 4.925291089479588, 143.22991169218116, 190, 0.402837620764954,
8, 5.547928522401076, 145.5864863019783, 190, 0.3980272176446515,
9, 6.2681281043305, 149.81399469876857, 200, 0.3885758008212605,
10, 6.85031608011991, 152.35155653663, 210, 0.38401534697286627,
11, 7.471997441657257, 155.82171971560362, 220, 0.3774499861202775,
12, 8.017411643579106, 158.64232546914292, 230, 0.3729583357137971,
13, 8.543679489579379, 161.77079278898813, 250, 0.3682060496148124,
14, 9.097750093597956, 165.95239829702274, 260, 0.36159958744548215,
15, 9.531887682515842, 168.99598765293578, 270, 0.3581674940544413,
16, 9.983854860851126, 173.41833505008336, 290, 0.35254829016613276,
17, 10.434923811306597, 179.40752913912544, 310, 0.34473878698999383,
18, 10.829783102458567, 186.29915692628774, 340, 0.3363068233211127,
19, 11.141250873580368, 193.34730963620825, 370, 0.3286520203382639,
20, 11.380989579433574, 200.12988711485607, 400, 0.3221081646972942,
21, 11.613600555347583, 209.90765325139773, 440, 0.31172500821200205,
22, 11.783369649319866, 219.52986158211345, 480, 0.3024887720857543,
23, 11.920226943716433, 229.4420119224644, 520, 0.29339702559460906,
24, 12.03115914763526, 240.95579686671402, 560, 0.2828522653507542,
