cores,MBW,AVGLAT,LAT90,IPC,
1, 2.6067, 106.67737251350592, 120, 1.4603739302638339,
2, 5.0161, 110.59537450435543, 120, 1.4147920341201858,
3, 7.1205, 115.16146405014207, 130, 1.345644447692822,
4, 9.3067, 119.19912191695286, 140, 1.2991190410140117,
5, 11.0702, 123.69446385421637, 150, 1.2367003932747318,
6, 12.5335, 127.94951494651974, 160, 1.1792570510459952,
7, 14.2201, 132.9152048839877, 170, 1.126512441844597,
8, 15.5893, 138.02581634684057, 190, 1.0966508156659862,
9, 17.3958, 135.55454938209414, 190, 1.0774129314301726,
10, 18.3226, 141.26518320664653, 210, 1.0270081114959595,
6, 20.0559, 156.20011257983487, 250, 0.930603772247536,                         
7, 20.8861, 172.67471032607202, 310, 0.839154628383801,                         
8, 21.3897, 193.72685662209526, 430, 0.7582788658369182,                        
9, 22.1993, 210.39672678183072, 490, 0.6861953045855874,                        
10, 22.9270, 225.96665424324044, 550, 0.632255409206123,
6, 24.4612, 267.71851420189734, 650, 0.5642512821870239,                        
7, 25.3388, 296.6207436650793, 730, 0.5030232303062717,                         
8, 26.2604, 320.2970271332994, 790, 0.46160335495216814,                        
9, 26.9542, 337.5758562730886, 820, 0.41515340114328353,                        
10, 27.5632, 359.87166705345163, 890, 0.3812664548995136,                       
11, 28.2670, 382.81564646023276, 940, 0.35260485613649106,                      
12, 28.6566, 399.18316386137997, 1000, 0.3280196187425201,  
7, 29.7743, 504.2109540160422, 1300, 0.2916211660150246,                        
8, 30.5324, 541.9668298201588, 1400, 0.26592316965016227,                       
9, 31.0450, 588.5609008259399, 1510, 0.2357962790067718,                        
10, 31.5680, 636.4417113951423, 1620, 0.2154568898246622,                       
11, 32.0931, 690.2744056997774, 1740, 0.19943158951053563,                      
12, 32.5452, 746.0108812478888, 1860, 0.18507268748388703,                      
13, 32.9134, 803.1646624456363, 1980, 0.17285494701733636,                      
14, 33.3740, 869.7774943585238, 1990, 0.16234788947493028,                      
15, 33.5115, 925.2444827721777, 1990, 0.15264659106429956,                      
16, 33.8667, 988.044644220501, 1990, 0.14670492737389212,                       
17, 34.0206, 1056.7424520389209, 1990, 0.13646412414497872,  
