app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,ddr_st,cxl_st
moses,0.319302433843794,0.985935039830581,16.750493727299,11.2995455259026,535.8491,240.2634,8586,2680
xapian,1.8307,1.8326,4.215488,1.049821,136.07,166.37,0,0
img-dnn,0.359779,0.917,15.7829,10.00797,273.701,186.45,0,0
masstree,0.34,0.58,12.13,8.11,239,193,265,128
sphinx,0.591,0.74,9.45,2.63,167.8,171.3,0,0
pagerank,0.21432,0.39166,14.2151,7.143,271.42,186.63,0,0
herd,1.03,1.18,7,1.72,119,164,0,0
