app,2X_ipc, 8X_ipc,
mose,0,0,
imgd,0,0,
cc,0,0,
bc,0,0,
lbm,0,0,
masst,0,0,
pr,0,0,
cactB,1.481298,1.681328,
tc,0,0,
parst,0.963285,1.056977,
sphx,0,0,
bfs,0,0,
omntp,0,0,
wrf,0,0,
xz,0,0,
mica,0,0,
cam4,0,0,
mDB,0,0,
mcf,1.382395,1.433299,
sssp,0,0,
xapn,0,0,
leela,0,0,
nab,0,0,
povray,1.906116,1.905642,
deepsj,0.0,2.22601,
perlbc,1.68836,1.693809,
