app,10ns_ipc, 50ns_ipc,
mose,0,0,
imgd,0,0,
cc,0,0,
bc,0,0,
lbm,0.712967,0.0,
masst,0,0,
pr,0,0,
cactB,1.592385,1.632486,
tc,0,0,
parst,1.121073,0.948215,
sphx,0,0,
bfs,0,0,
omntp,0.91377,0.755022,
wrf,1.370922,1.316308,
xz,0,0,
mica,0,0,
cam4,0,0,
mDB,0,0,
mcf,1.48367,1.350627,
sssp,0,0,
xapn,0,0,
leela,0,0,
nab,0,0,
povray,1.906016,0.0,
deepsj,2.25279,2.195318,
perlbc,1.726389,1.659785,
